,product_id,all_tags,tag_len
0,2281750372,10부레깅스 골지레깅스 기모레깅스 겨울레깅스 여자레깅스 무지레깅스 레깅스코디 9부레깅스 겨울레깅스코디 케쥬얼룩,10
1,2429526499,골지레깅스 배색레깅스 여자레깅스 여자레깅스팬츠 기모레깅스 스판레깅스 겨울레깅스 밴딩팬츠 트레이닝바지 트레이닝팬츠,10
2,2233663935,기모레깅스 두줄레깅스 배색레깅스 시보리레깅스 겨울레깅스 하이웨스트레깅스 레깅스팬츠 레깅스바지 레깅스트레이닝복,9
3,2362613543,기모레깅스 여자레깅스 9부레깅스 나팔레깅스 밍크레깅스 겨울레깅스 레깅스코디 편안한코디 러블리아이템 이지캐주얼룩,10
4,1003434376,피트니스웨어 바지레깅스 기느성바지 기능성레깅스 헬스장운동복 요가팬츠 여자스포츠레깅스 휘트니스복 요가복하의 헬스복,10
5,2135342738,배색레깅스 10부레깅스 9부레깅스 가을레깅스 환절기레깅스 밴딩팬츠 밴딩레깅스 삥줄레깅스 레깅스코디 여자레깅스,10
6,1002962256,스포츠팬츠 반바지레깅스 반바지트레이닝복 요가레깅스 요가팬츠 요가복하의 요가복레깅스 필라테스복 기능성레깅스 여자헬스복,10
7,1001288822,여름레깅스 텐셀레깅스 텐셀7부레깅스 7부레깅스 얇은레깅스 시원한레깅스 쿨레깅스 부드러운레깅스 데일리레깅스 쫀쫀레깅스,10
8,1002386030,깔끔한 심플한 모던룩 세탁하기편한,4
9,1002195589,내추럴한 뉴욕스타일 세련된 시크한 스타일리쉬한,5
10,2230760764,빅사이즈레깅스 가을레깅스 겨울레깅스 밑위긴레깅스 하이웨스트레깅스 77사이즈레깅스 88사이즈레깅스 99사이즈레깅스,8
11,2283909718,스키니한 깜찍발랄한 걸크러쉬패션 스타일리쉬한 러블리아이템 깔끔한스타일 캐주얼룩 베이직모던 편안한코디,9
12,2288347080,빅사이즈여성의류 빅사이즈레깅스 부츠컷레깅스 멋스러운캐쥬얼 신축성좋은 텐션좋은 쫀쫀한레깅스 밑위긴바지 나팔레깅스팬츠 기모레깅스,10
13,2005842552,여자레깅스 빅사이즈레깅스 레깅스쇼핑몰 요가레깅스 운동레깅스 쿨레깅스 여름레깅스 필라테스운동복 쫄바지 스포츠레깅스,10
14,2269336005,단아한 여성스러운 오피스룩 단정한,4
15,2117615584,10부레깅스 9부레깅스 가을레깅스 스판레깅스 밴딩팬츠 레깅스팬츠 배색레깅스 환절기레깅스 9부레깅스팬츠 데일리레깅스,10
16,2000390991,스포츠레깅스 여름레깅스 요가복레깅스 요가복하의 매쉬레깅스 반바지레깅스 헬스레깅스 필라테스복 바지레깅스,9
17,2219591750,데일리코디아이템 편안한룩 부츠컷레깅스 나팔레깅스 부츠컷팬츠 여자레깅스,6
18,2596314145,빅사이즈여성의류 신축성좋은레깅스 빅사이즈레깅스 밑위가긴레깅스 텐션좋은레깅스 실크레깅스 미시레깅스 77사이즈 봄레깅스 여름레깅스,10
19,1002373175,압박스타킹 겨울스타킹 검은스타킹 150데니아 보정스타킹 힙업스타킹 쫀쫀한스타킹 도톰한스타킹 슬림핏스타킹,9
20,1003700898,나팔레깅스 나팔바지 유니크레깅스 편안한스타일 신축성좋은레깅스,5
21,2238288321,캐쥬얼한 섹시레깅스 데일리룩 이지캐주얼 베이직코디 데일리레깅스 날씬해보이는코디 페미닌 심플리시티 모던베이직디자인,10
22,1002335421,럭셔리한 레이어드룩 레이디라이크룩 돋보이는 락시크룩,5
23,1002227282,기모레깅스 레깅스코디 배색레깅스 쫀쫀한레깅스 데일리레깅스 데일리레깅스코디 메이메이,7
24,1000545076,나들이룩 세련된 섹시한 고급스러운 빈티지한,5
25,2224951666,150데니아스타킹 압박스타킹 늘씬한 따뜻하게 간절기 여성 겨울스타킹 컬러스타킹 고탄력스타킹 카사이스타킹,10
26,1001832811,면레깅스 9부레깅스 시보리레깅스 가을신상,4
27,2265629593,아일렛레깅스 9부레깅스 여자레깅스 니트레깅스 겨울레깅스 밴딩레깅스 레깅스팬츠 홈웨어팬츠 마실룩 데일리룩,10
28,1001266232,쿨레깅스 9부레깅스 여자레깅스 여름레깅스,4
29,1002420113,스타일윈도 스타일윈도우 겨울레깅스 융레깅스 쫀쫀한레깅스 스판레깅스 기모레깅스,7
30,2549881450,편안한코디 데일리코디 무지캐주얼 이지룩코디 봄 핏이예쁜 아동간지룩,7
31,1002408417,클로슈w 캐쥬얼룩 스판레깅스 면스판레깅스 골지레깅스 면레깅스 레깅스팬츠 레깅스코디 겨울레깅스,9
32,1002326138,니트레깅스 골지니트레깅스 겨울레깅스 니트골지레깅스 겨울쫄바지 쫄바지레깅스 쫄바지패션 레깅스쫄바지 레이어드레깅스,9
33,1002465319,골지쫄바지 골지내복 그레이골지쫄 차콜골지쫄 블랙골지쫄 레깅스골지 여자골지레깅스 여성골지레깅스 쫀쫀한골지레깅스 캐쥬얼한,10
34,2268306482,기모치마레깅스 치마레깅스 스웨이드치마레깅스 치랭 3부치마레깅스,5
35,2217375981,빅사이즈여성의류 빅사이즈레깅스 부츠컷레깅스 편안한스타일 멋스러운캐쥬얼 신축성좋은 텐션좋은 쫀쫀한레깅스 밑위긴바지 나팔레깅스팬츠,10
36,2571013802,스포츠레깅스 져지레깅스 랍바레깅스 여자레깅스 봄레깅스 스판레깅스 두줄레깅스 운동레깅스 9부레깅스 레깅스팬츠,10
37,2748403906,스판레깅스 기능성레깅스 운동레깅스 스포츠레깅스 라인레깅스 한줄레깅스 랍바레깅스 얇은레깅스 봄레깅스 여름레깅스,10
38,2538906284,텐셀레깅스 텐셀바지 쫄바지 쫄바지9부 기본레깅스스타일 밴딩레깅스 텐셀속바지 컬러밴딩 봄레깅스 텐셀쫄바지,10
39,2558742193,여자레깅스 여성레깅스 스트라이프레깅스 배색레깅스 테이핑레깅스 한줄레깅스 하이웨스트레깅스 옆선레깅스 봄레깅스 레깅스바지,10
40,2166341226,여자레깅스 레깅스코디 레깅스쫄바지 레깅스룩 데일리레깅스 니트레깅스 두줄레깅스 시보리레깅스 면레깅스 배색레깅스,10
41,1002958652,기본레깅스 무지레깅스 피치레깅스 여성레깅스,4
