,Id,Rating,Review
0,2123551726,적극추천,브라운 예뻐요~~ 구매평 쓰는데 사진 첨부가 오류나서 썼던 글을 다시 쓰기 힘들어서 스크린샷으로 첨부합니다ㅠㅋㅋㅋㅋ (구매평은 붙여넣기 불가)
1,2123551726,추천,사이즈가 조금 커요 제가 볼이 좁은 편이기도한데 사이즈가 약간 크게 나온 듯해요. 맨발에 신어도 조금 크니 스타킹에 신으면 깔창하나 넣고 신어야 괜찮을 거 같아요
2,2123551726,추천,예뻐요 가을에 신기 딱 좋네요 편하고 인조가죽도 딱딱하지 않고 새 신발 냄새도 심하지 않고 예뻐요
3,2123551726,적극추천,추천! 235-240신는데 240사니까 맞네요. 심플하면서도 스트랩이 있어서 귀여운 느낌입니다. 스트랩에 고무줄이 있어서 답답하지않습니다. 추천해요.
4,2123551726,보통,브라운 추천합니다 데일리로 편하게 신으려고 샀어요 블랙으로 했는데 엄청 소녀소녀합니다 브라운이왠지 더 이쁠 것 같아요
5,2123551726,만족,띠부분이 예상보단 넓은데 밈에들어요. 
6,2123551726,보통,배송이느려서 기분이그랫네요 일주일걸렸어요전화를해도 연결이 잘안됩니다 신발은 예쁘네요 발도편해요 같은디자인 최저가로 샀어요 
7,2123551726,만족,퓨ㅜㅡㅏㅏㅔ 
8,2123551726,보통,신발이 엄청 낮아요 밑창은 붙여서 신는게 좋을거 같아요 
9,2123551726,만족,사이즈 넉넉해요 
10,2123551726,보통,이쁜데 발안쪽 마무리 실밥처리가 넘따갑네요. 사포로좀 갈고 신어요. 
11,2123551726,만족,괜찮은듯하네요 
12,2123551726,만족,배송진짜빠르고 기대이상으로 신발이너무 예뻐요♡ 
13,2123551726,만족,예뻐요! 이정도면 편한 편이구요~! 
14,2123551726,보통,디자인 소재는 맘에 드나 마감 처리가 제대로 되지않아(안쪽시접부분) 발이 찔립니다.두쪽이 다 그러네요. 
15,2481896833,적극추천,좋으네요 만족합니다. 이쁜 로퍼 오랜만에 구매했어요. 가죽이 너무 좋은품질인데 가격은 저렴해서 잘구매한거 같아요.
16,2481896833,적극추천,"선물함 1년동안 찜했다가 선물용으로 사봤는데 정사이즈이고요
너무 이쁨, 색 두개 다 이뻐서 한참 고민하다 무난한 블랙으로 샀는데
진짜 시크하고 이쁨"
